player,team,week,opponent,points,minutes,goal,assist,cleanSheet,goalsConceded,influence,creativity,threat,iCTIndex
Hazard,CHE,33,WHU (H) 2-0,16,90,2,0,1,0,91.8,66.4,69,22.7
Hazard,CHE,34,LIV (A) 2-0,2,90,0,0,0,2,13.4,4.3,61,7.9
Hazard,CHE,35,BUR (H) 2-2,7,90,0,1,0,2,35,62.6,49,14.7
Sterling,MCI,1,ARS (A) 0-2,7,86,1,0,1,0,38.2,17.8,52,10.8
Sterling,MCI,2,HUD (H) 6-1,0,0,0,0,0,0,0,0,0,0
Sterling,MCI,3,WOL (A) 1-1,2,84,0,0,0,1,9.2,13.9,27,5
Sterling,MCI,4,NEW (H) 2-1,10,90,1,0,0,1,46.2,35.3,45,12.7
Sterling,MCI,5,FUL (H) 3-0,8,73,1,0,1,0,47.4,42.6,95,18.5
Sterling,MCI,6,CAR (A) 0-5,6,90,0,1,1,0,31.8,48.7,47,12.8
Sterling,MCI,7,BHA (H) 2-0,14,90,1,1,1,0,67.6,58.7,90,21.6
Sterling,MCI,8,LIV (A) 0-0,3,75,0,0,1,0,4.6,13,6,2.4
Sterling,MCI,9,BUR (H) 5-0,0,0,0,0,0,0,0,0,0,0
Sterling,MCI,10,TOT (A) 0-1,6,90,0,1,1,0,24.4,40.1,54,11.9
Sterling,MCI,11,SOU (H) 6-1,21,90,2,2,0,1,107.2,38.3,83,22.9
Sterling,MCI,12,MUN (H) 3-1,2,90,0,0,0,1,8,33.3,60,10.1
Sterling,MCI,13,WHU (A) 0-4,16,73,1,2,1,0,56.2,25.3,43,12.5
Sterling,MCI,14,BOU (H) 3-1,9,90,1,0,0,1,43.8,25.4,69,13.8
Sterling,MCI,15,WAT (A) 1-2,0,0,0,0,0,0,0,0,0,0
Sterling,MCI,16,CHE (A) 2-0,2,90,0,0,0,2,19.8,27.4,45,9.2
Sterling,MCI,17,EVE (H) 3-1,6,24,1,0,0,0,33.4,0.8,37,7.1
Sterling,MCI,18,CRY (H) 2-3,2,68,0,0,0,3,6.2,26.6,12,4.5
Sterling,MCI,19,LEI (A) 2-1,2,90,0,0,0,2,14.2,39.3,20,7.4
Sterling,MCI,20,SOU (A) 1-3,6,90,0,1,0,1,14.6,42.7,45,10.2
Sterling,MCI,21,LIV (H) 2-1,5,90,0,1,0,1,30.4,50.6,20,10.1
Sterling,MCI,22,WOL (H) 3-0,6,90,0,1,1,0,15.8,30.4,58,10.4
Sterling,MCI,23,HUD (A) 0-3,10,90,1,0,1,0,44,15.1,43,10.2
Sterling,MCI,24,NEW (A) 2-1,1,90,0,0,0,2,0,5.5,6,1.1
Sterling,MCI,25,ARS (H) 3-1,10,90,0,2,0,1,56,61,49,16.6
Sterling,MCI,25,EVE (A) 0-2,1,31,0,0,0,0,6.2,11.5,30,4.8
Sterling,MCI,26,CHE (H) 6-0,18,90,2,1,1,0,78.8,30.3,46,15.5
Sterling,MCI,28,WHU (H) 1-0,1,35,0,0,0,0,11.6,11.2,30,5.3
Sterling,MCI,29,BOU (A) 0-1,3,90,0,0,1,0,5,21.3,41,6.7
Sterling,MCI,30,WAT (H) 3-1,21,64,3,0,1,0,100.8,17.4,95,21.3
Sterling,MCI,32.1,FUL (A) 0-2,3,87,0,0,1,0,12.6,45.8,83,14.1
Sterling,MCI,32.2,CAR (H) 2-0,0,0,0,0,0,0,0,0,0,0
Sterling,MCI,34,CRY (A) 1-3,14,90,2,0,0,1,64.8,6.7,58,13
Sterling,MCI,35.1,TOT (H) 1-0,2,90,0,0,1,0,3.8,3.7,25,3.3
Sterling,MCI,35.2,MUN (A),0,0,0,0,0,0,0,0,0,0
Mane,LIV,1,WHU (H) 4-0,16,81,2,0,1,0,77,29.3,79,18.5
Mane,LIV,2,CRY (A) 0-2,10,90,1,0,1,0,50.2,36.9,48,13.5
Mane,LIV,3,BHA (H) 1-0,3,79,0,0,1,0,5.6,5.7,23,3.4
Mane,LIV,4,LEI (A) 1-2,10,90,1,0,0,1,39.2,12.7,21,7.3
Mane,LIV,5,TOT (A) 1-2,2,90,0,0,0,1,10.4,25.8,64,10
Mane,LIV,6,SOU (H) 3-0,3,90,0,0,1,0,9.6,13.9,17,4.1
Mane,LIV,7,CHE (A) 1-1,1,90,0,0,0,1,1.8,3.3,24,2.9
Mane,LIV,8,MCI (H) 0-0,3,90,0,0,1,0,5,3.5,10,1.9
Mane,LIV,9,HUD (A) 0-1,0,0,0,0,0,0,0,0,0,0
Mane,LIV,10,CAR (H) 4-1,15,90,2,0,0,1,76,32.3,62,17
Mane,LIV,11,ARS (A) 1-1,2,90,0,0,0,1,7,2.3,18,2.7
Mane,LIV,12,FUL (H) 2-0,3,90,0,0,1,0,10.6,18,20,4.9
Mane,LIV,13,WAT (A) 0-3,9,90,0,2,1,0,27,14.9,38,8
Mane,LIV,14,EVE (H) 1-0,3,90,0,0,1,0,0,13.8,35,4.8
Mane,LIV,15,BUR (A) 1-3,0,0,0,0,0,0,0,0,0,0
Mane,LIV,16,BOU (A) 0-4,1,25,0,0,0,0,2.2,1.5,4,0.8
Mane,LIV,17,MUN (H) 3-1,9,83,1,0,0,1,45.8,34.4,50,13
Mane,LIV,18,WOL (A) 0-2,3,86,0,0,1,0,22.4,43.4,16,8.2
Mane,LIV,19,NEW (H) 4-0,3,90,0,0,1,0,9,26.8,72,10.8
Mane,LIV,20,ARS (H) 5-1,7,61,1,0,0,1,37.4,3.6,40,8.1
Mane,LIV,21,MCI (A) 2-1,2,76,0,0,0,2,0.6,1.7,21,2.3
Mane,LIV,22,BHA (A) 0-1,3,89,0,0,1,0,6,27.9,30,6.4
Mane,LIV,23,CRY (H) 4-3,7,90,1,0,0,3,47.2,22.1,76,14.5
Mane,LIV,24,LEI (H) 1-1,9,90,1,0,0,1,40.4,28.6,29,9.8
Mane,LIV,25,WHU (A) 1-1,8,90,1,0,0,1,44.8,8.1,52,10.5
Mane,LIV,26,BOU (H) 3-0,8,86,1,0,1,0,36.2,15.8,44,9.6
Mane,LIV,27,MUN (A) 0-0,3,90,0,0,1,0,8.2,4.3,8,2.1
Mane,LIV,28,WAT (H) 5-0,13,77,2,0,1,0,64.6,7.2,63,13.5
Mane,LIV,29,EVE (A) 0-0,3,83,0,0,1,0,0.6,4.5,2,0.7
Mane,LIV,30,BUR (H) 4-2,14,90,2,0,0,2,72.2,40.5,61,17.4
Mane,LIV,31,FUL (A) 1-2,13,90,1,1,0,1,42,19.1,42,10.3
Mane,LIV,32,TOT (H) 2-1,2,90,0,0,0,1,4.4,13.8,8,2.6
Mane,LIV,33,SOU (A) 1-3,1,90,0,0,0,1,13.4,24.9,58,9.6
Mane,LIV,34,CHE (H) 2-0,9,90,1,0,1,0,40.6,30.7,58,12.9
Mane,LIV,35,CAR (A) 0-2,3,90,0,0,1,0,5.6,52.9,29,8.8
Pogba,MUN,1,LEI (H) 2-1,10,83,1,0,1,0,56.8,9.9,24,9.1
Pogba,MUN,2,BHA (A) 3-2,8,90,1,0,0,3,48,25.8,31,10.5
Pogba,MUN,3,TOT (H) 0-3,2,90,0,0,0,3,0,0,0,0
Pogba,MUN,4,BUR (A) 0-2,1,90,0,0,1,0,12.6,38.3,29,8
Pogba,MUN,5,WAT (A) 1-2,2,90,0,0,0,1,17,7.5,68,9.3
Pogba,MUN,6,WOL (H) 1-1,5,90,0,1,0,1,35.8,41.7,12,9
Pogba,MUN,7,WHU (A) 3-1,2,69,0,0,0,2,5.2,3.8,37,4.6
Pogba,MUN,8,NEW (H) 3-2,4,90,0,1,0,2,49.2,32.7,75,15.7
Pogba,MUN,9,CHE (A) 2-2,2,90,0,0,0,2,17.8,7.2,5,3
Pogba,MUN,10,EVE (H) 2-1,8,90,1,1,0,1,67.4,30.8,90,18.8
Pogba,MUN,11,BOU (A) 1-2,2,90,0,0,0,1,26.2,43.3,52,12.2
Pogba,MUN,12,MCI (A) 3-1,0,0,0,0,0,0,0,0,0,0
Pogba,MUN,13,CRY (H) 0-0,3,67,0,0,1,0,2,8,9,1.9
Pogba,MUN,14,SOU (A) 2-2,1,90,0,0,0,2,13.8,5.8,29,4.9
Pogba,MUN,15,ARS (H) 2-2,1,15,0,0,0,0,5.2,4.3,0,1
Pogba,MUN,16,FUL (H) 4-1,0,0,0,0,0,0,0,0,0,0
Pogba,MUN,17,LIV (A) 3-1,0,0,0,0,0,0,0,0,0,0
Pogba,MUN,18,CAR (A) 1-5,13,90,0,3,0,1,45.6,36.3,18,10
Pogba,MUN,19,HUD (H) 3-1,15,90,2,0,0,1,96,40.2,58,19.4
Pogba,MUN,20,BOU (H) 4-1,18,90,2,1,0,1,102,56.1,100,25.8
Pogba,MUN,21,NEW (A) 0-2,3,90,0,0,1,0,11.8,28.8,30,7.1
Pogba,MUN,22,TOT (A) 0-1,5,90,0,1,1,0,42.8,34.8,89,16.7
Pogba,MUN,23,BHA (H) 2-1,8,90,1,0,0,1,32,6.4,69,10.7
Pogba,MUN,24,BUR (H) 2-2,7,90,1,0,0,2,46,30.1,70,14.6
Pogba,MUN,25,LEI (A) 0-1,7,90,0,1,1,0,35.4,33.6,0,6.9
Pogba,MUN,26,FUL (A) 0-3,16,73,2,0,1,0,78.8,15.2,50,14.4
Pogba,MUN,27,LIV (H) 0-0,3,90,0,0,1,0,16,15.8,29,6.1
Pogba,MUN,28,CRY (A) 1-3,5,90,0,1,0,1,31.4,24.9,23,7.9
Pogba,MUN,29,SOU (H) 3-2,0,90,0,0,0,2,14,3.8,19,3.7
Pogba,MUN,30,ARS (A) 2-0,1,90,0,0,0,2,3.6,17.7,29,5
Pogba,MUN,32,WAT (H) 2-1,2,90,0,0,0,1,8.2,5.5,8,2.2
Pogba,MUN,32,WOL (A) 2-1,2,90,0,0,0,2,14.8,53.9,13,8.2
Pogba,MUN,34,WHU (H) 2-1,15,90,2,0,0,1,91.8,13.6,74,17.9
Pogba,MUN,35.1,EVE (A) 4-0,2,90,0,0,0,4,22,49.8,2,7.4
Pogba,MUN,35.2,MCI (H) 0-2,2,90,0,0,0,2,9.4,26.6,42,7.8
Sigurdsson,EVE,1,WOL (A) 2-2,1,43,0,0,0,0,0,1.5,2,0.2
Sigurdsson,EVE,2,SOU (H) 2-1,2,90,0,0,0,1,22.2,81.5,20,12.4
Sigurdsson,EVE,3,BOU (A) 2-2,4,90,0,1,0,2,30,42.3,5,7.7
Sigurdsson,EVE,4,HUD (H) 1-1,2,75,0,0,0,1,6.8,11.5,0,1.8
